year,chla,chla_prevSummer,colour,colour_prevSummer,rain,TP,TP_prevSummer,wind_speed
1981-01-01,L,L,L,L,L,L,H,L
1982-01-01,L,L,L,L,L,L,L,H
1983-01-01,L,L,L,L,L,H,L,H
1984-01-01,L,L,L,L,H,L,H,H
1985-01-01,L,L,L,L,H,H,L,H
1986-01-01,L,L,L,M,L,H,H,H
1987-01-01,L,L,L,L,H,L,H,L
1988-01-01,L,L,L,L,H,H,L,L
1989-01-01,L,L,L,L,L,L,H,H
1990-01-01,L,L,L,L,L,L,L,H
1991-01-01,L,L,L,L,L,L,L,H
1992-01-01,L,L,L,L,L,H,L,H
1993-01-01,L,L,L,L,L,L,H,L
1994-01-01,L,L,L,L,L,H,L,H
1995-01-01,H,H,L,L,L,L,H,H
1996-01-01,H,H,L,L,L,H,L,L
1997-01-01,H,H,L,L,L,L,H,L
1998-01-01,H,H,L,L,H,H,L,L
1999-01-01,H,H,H,M,H,H,H,L
2000-01-01,H,H,L,M,H,H,H,H
2001-01-01,H,H,H,M,H,H,H,H
2002-01-01,H,H,H,H,H,H,H,L
2003-01-01,L,H,L,M,L,H,H,L
2004-01-01,H,H,L,M,H,H,H,L
2005-01-01,H,H,L,M,L,H,H,L
2006-01-01,H,H,H,M,H,H,H,L
2007-01-01,L,H,H,M,H,H,H,L
2008-01-01,L,H,H,H,H,H,H,L
2009-01-01,L,L,H,H,L,L,H,L
2010-01-01,L,L,H,M,H,L,L,L
2011-01-01,L,L,H,H,H,L,L,L
2012-01-01,L,L,H,H,H,L,L,H
2013-01-01,L,L,H,H,H,L,L,H
2014-01-01,L,L,L,M,H,L,L,L
2015-01-01,L,L,H,M,H,L,L,H
2016-01-01,L,L,H,M,L,L,L,H
2017-01-01,L,L,L,M,H,L,L,H
2018-01-01,L,L,L,M,L,L,L,H
